NGEN,NO,ind,fitness,theta
88,0,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), AND1(x2, x2))), AND1(XOR1(x1, ANDN(AND1(x2, x1), NOR1(x2, x1))), ORN1(x1, x2))), XNOR(x1, x1))","(0.22403039694423896, 26)","[0.247703272134431, 1.6401029557310114, 1.8881328369670036, 1.8285612751429676, 0.9666099427182833, 0.5418989043831826, 0.3854015951037246, 1.2872207594833747, 1.1271851405074167, 1.833023902288115, 1.7725521115101464, 0.023867993826851563, 0.006350745637226707]"
88,1,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), ORN1(AND1(x2, x2), x2))), AND1(XOR1(x1, x1), XOR1(Positive(x1), NOR1(x2, x2)))), XNOR(x1, x1))","(0.22403538364154263, 25)","[1.651550412319381, 1.7628784984348964, 1.1846170520862662, 0.3828524825145678, 1.2062669169445832, 0.16791533380729762, 0.7907065456447422, 1.3460082665682833, 0.06566727317824506, 1.1813970756945718, 0.28957848311201584, 0.33864261239774396, 1.8672938919533173]"
88,2,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), ORN1(AND1(x2, x2), x2))), AND1(XOR1(x1, x1), ORN1(x1, x2))), XNOR(x1, x1))","(0.22403649937527492, 22)","[0.9929146058953708, 0, 1.0656658315594485, 0.4163910914142738, 0.9410229468461175, 1.9930377225255707, 0.28591692345563036, 1.2445800381379941, 0.6531216236605863, 1.1750654890305525, 1.215641030713392]"
88,3,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), AND1(x2, x2))), AND1(XOR1(x1, ANDN(AND1(x2, x1), NOR1(x2, XNOR(ANDN(x2, x1), AND1(x1, x2))))), ORN1(x1, x2))), XNOR(x1, x1))","(0.22404039137100634, 32)","[1.2580939895741545, 1.2025196991034268, 0.2852369766152607, 0.8236591852733348, 1.118423834651546, 0.28366749185220363, 0.9996617457153142, 1.0941941693781698, 0.8954962876472722, 0.6684031744597385, 0.9593636825125913, 0.8079700416993182, 0.6994619772166228, 0.5805094383818651, 1.4142007328031765, 0.24540909371828867]"
88,4,"AND1(ANDN(XNOR(XNOR(x2, x2), ORN1(x1, x2)), Negative(Positive(x2))), XNOR(x1, x1))","(0.22409166988709994, 15)","[0.1349842573080312, 2, 1.254290686790284, 0, 0.5391541923372378, 0.4346559185637894, 0.23880547775711147, 1.0544145157534797]"
88,5,"AND1(ANDN(Negative(XOR1(x2, XNOR(NAND(x2, x1), NAND(x2, x2)))), AND1(XOR1(x1, x1), ORN1(XNOR(x2, x1), x2))), XNOR(x1, x1))","(0.22409317512810548, 24)","[0.8827030298117546, 1.2158941328975732, 0.23102682101691263, 1.2806411106472964, 1.9743178284331422, 1.7613008002533757, 0.2612466014461514, 0.18986568478845212, 0.4565157285285235, 1.9439600004962423, 1.660963801977405, 0.25475289590835914]"
88,6,"AND1(ANDN(Negative(AND1(ORN1(x1, x1), XOR1(x1, x2))), AND1(XOR1(x1, x1), ORN1(XNOR(x2, x1), x2))), XNOR(x1, x1))","(0.22410010298684174, 22)","[0.10730700500322676, 0.1422697878842789, 0.8930269279220218, 0.6931740443147534, 0.688278230752821, 1.6423971940336053, 1.614060549214248, 0.11578467113481294, 1.078262172481781, 0.4260967836387084, 1.6123386580444052]"
88,7,"AND1(ANDN(XOR1(x2, x2), Negative(XOR1(NAND(x1, x1), x2))), XNOR(x1, x1))","(0.224103797662854, 14)","[1.1467237604470653, 0.9488751206575863, 1.1465406490098424, 1.0774910566412983, 1.7107575357062335, 1.1023527176561034, 1.051289792848107]"
88,8,"AND1(ANDN(XOR1(x2, x2), Negative(Positive(x2))), XNOR(x1, x1))","(0.2241057826747508, 11)","[1.406273552022489, 0.7095288913123334, 1.3088839299523154, 1.6962142119617414, 0.23492952770941788, 0.19787918988945852]"
88,9,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), ORN1(x2, x2))), AND1(XOR1(x1, x1), ORN1(x1, x2))), XNOR(x1, x1))","(0.22411777573852987, 20)","[1.43753538515953, 1.295227402595991, 1.1544734630242202, 0.6690303492902777, 0.32257988822339756, 0.8955964201776194, 1.1844685886142283, 0.7223736269888588, 1.7714521008114912, 0.8286541677249785]"
88,10,"AND1(ANDN(Negative(AND1(ORN1(x1, x1), XOR1(x1, x2))), AND1(XOR1(x1, x1), ORN1(NAND(Positive(x2), ANDN(x1, x1)), x2))), XNOR(x1, x1))","(0.22414617561098837, 25)","[1.775214991722788, 2, 1.1958365943982683, 1.7065583218937177, 0, 1.565554320942845, 0.9241634797467142, 0.056410488471948295, 0, 2, 0, 1.1309969177035513, 0.11563248162034323]"
88,11,"AND1(XNOR(x1, x1), Positive(ANDN(x2, x2)))","(0.22415726439031702, 8)","[1.4700469710801336, 1.6241454320380395, 1.495343730889741, 0.5170041225167321]"
88,12,"AND1(ANDN(Negative(NOR1(x2, x1)), Positive(ORN1(x1, x1))), XNOR(x1, x1))","(0.2241838410588386, 13)","[1.1749142548769027, 0.5915914426815834, 1.2698515106979382, 0.2597220838246892, 1.9508554763894022, 0.7635894735329378, 1.261147169523077]"
88,13,"AND1(ANDN(Negative(AND1(ORN1(NOR1(Positive(x1), Negative(x2)), x1), XOR1(x1, x2))), AND1(XOR1(x1, x1), ORN1(XNOR(x2, x1), x2))), XNOR(x1, x1))","(0.22418780412573705, 26)","[1.597698917774286, 1.014201625291563, 0.656971766031761, 1.2023030875302336, 1.137416441218177, 0, 0.5120984854181712, 2, 2, 0.38736349715583107, 0, 1.793829259632433, 1.0211110586405394, 1.4759414112202591]"
88,14,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), AND1(x2, x2))), AND1(XOR1(x1, ANDN(ORN1(ANDN(x1, x2), x2), NOR1(x2, x1))), ORN1(x1, x2))), XNOR(x1, x1))","(0.22422643379016904, 28)","[1.7732988013989357, 0.04374169794897331, 0.13473700884899675, 1.7206787436702784, 1.8597679491689696, 0.1544245047517825, 0.4406558077136602, 1.3735806027257487, 0.8461137686035627, 0.6535532438839935, 0.7006407505683332, 0.8269416275613848, 1.045440328647678, 1.5672782909831813]"
88,15,"AND1(ANDN(Positive(x2), Negative(NOR1(x2, x2))), XNOR(x1, x1))","(0.2242295873658438, 11)","[0.7997833009882909, 0.31675683519423736, 0.95825610695342, 1.3301862987832633, 0.7983261515815732, 0.8059350818797006]"
88,16,"AND1(ANDN(Negative(XOR1(AND1(x2, x2), ORN1(AND1(x2, XNOR(NAND(x2, x2), AND1(x2, x1))), x2))), AND1(XOR1(x1, x1), ORN1(x1, x2))), XNOR(x1, x1))","(0.2242425652341889, 28)","[2, 1.7520304667947249, 0, 0.8080798795053805, 1.3631677676128955, 1.283682281237427, 1.6964172621385651, 0.33762709185916007, 1.1852597194461945, 0.38734313386419505, 1.1455393444739306, 2, 0.7296802295365525, 0.16795779849624504]"
88,17,"AND1(ANDN(Positive(x2), Negative(Positive(x2))), XNOR(x1, x1))","(0.2242558243879067, 10)","[1.2099992374603776, 1.9489626331648644, 1.3171490323558264, 0.14993612644035115, 1.677637493526396, 1.8739586702014774]"
88,18,"AND1(Positive(x2), XNOR(x1, x1))","(0.22426278335427385, 6)","[0.2466535822506568, 0.5908412518287154, 0.264931689101469]"
